outfit_id,category,link,color_chip_id
143,1,http://www.uniqlo.com/tw/store/goods/404802,68
144,0,http://www.uniqlo.com/tw/store/goods/400641,42
144,0,http://www.uniqlo.com/tw/store/goods/400662,01
144,1,http://www.uniqlo.com/tw/store/goods/400137,69
145,0,http://www.uniqlo.com/tw/store/goods/402216,01
145,-1,http://www.uniqlo.com/tw/store/goods/402176,03
146,0,http://www.uniqlo.com/tw/store/goods/403134,37
146,0,http://www.uniqlo.com/tw/store/goods/400330,69
146,0,http://www.uniqlo.com/tw/store/goods/401283,57
146,1,http://www.uniqlo.com/tw/store/goods/192565,69
147,0,http://www.uniqlo.com/tw/store/goods/400644,24
147,0,http://www.uniqlo.com/tw/store/goods/400518,08
147,1,http://www.uniqlo.com/tw/store/goods/404802,68
147,-1,http://www.uniqlo.com/tw/store/goods/401630,08
148,0,http://www.uniqlo.com/tw/store/goods/400518,08
148,0,http://www.uniqlo.com/tw/store/goods/400624,69
148,1,http://www.uniqlo.com/tw/store/goods/400137,58
149,0,http://www.uniqlo.com/tw/store/goods/400641,42
149,0,http://www.uniqlo.com/tw/store/goods/400518,08
149,0,http://www.uniqlo.com/tw/store/goods/400327,09
150,0,http://www.uniqlo.com/tw/store/goods/400641,01
151,0,http://www.uniqlo.com/tw/store/goods/400511,09
151,0,http://www.uniqlo.com/tw/store/goods/400648,32
151,0,http://www.uniqlo.com/tw/store/goods/400662,08
151,-1,http://www.uniqlo.com/tw/store/goods/401788,08
152,0,http://www.uniqlo.com/tw/store/goods/400510,09
153,0,http://www.uniqlo.com/tw/store/goods/400624,03
153,0,http://www.uniqlo.com/tw/store/goods/400634,06
154,0,http://www.uniqlo.com/tw/store/goods/400977,64
154,0,http://www.uniqlo.com/tw/store/goods/401284,69
154,-1,http://www.uniqlo.com/tw/store/goods/400042,01
155,0,http://www.uniqlo.com/tw/store/goods/401851,67
156,0,http://www.uniqlo.com/tw/store/goods/401449,36
156,0,http://www.uniqlo.com/tw/store/goods/402518,18
156,0,http://www.uniqlo.com/tw/store/goods/400325,00
157,0,http://www.uniqlo.com/tw/store/goods/401386,69
157,0,http://www.uniqlo.com/tw/store/goods/400501,19
157,1,http://www.uniqlo.com/tw/store/goods/401756,04
157,-1,http://www.uniqlo.com/tw/store/goods/401582,03
158,0,http://www.uniqlo.com/tw/store/goods/400501,58
158,0,http://www.uniqlo.com/tw/store/goods/401449,03
158,1,http://www.uniqlo.com/tw/store/goods/400132,67
158,-1,http://www.uniqlo.com/tw/store/goods/400045,08
158,-1,http://www.uniqlo.com/tw/store/goods/400042,58
159,2,http://www.uniqlo.com/tw/store/goods/400181,01
159,2,http://www.uniqlo.com/tw/store/goods/400245,69
160,0,http://www.uniqlo.com/tw/store/goods/400325,69
162,0,http://www.uniqlo.com/tw/store/goods/400324,14
163,0,http://www.uniqlo.com/tw/store/goods/403914,00
163,1,http://www.uniqlo.com/tw/store/goods/404802,68
164,0,http://www.uniqlo.com/tw/store/goods/401742,09
164,0,http://www.uniqlo.com/tw/store/goods/400621,17
164,0,http://www.uniqlo.com/tw/store/goods/400327,00
165,0,http://www.uniqlo.com/tw/store/goods/400511,66
165,0,http://www.uniqlo.com/tw/store/goods/400230,69
165,-1,http://www.uniqlo.com/tw/store/goods/400042,01
165,-1,http://www.uniqlo.com/tw/store/goods/400044,58
166,0,http://www.uniqlo.com/tw/store/goods/403672,17
166,-1,http://www.uniqlo.com/tw/store/goods/401760,08
167,0,http://www.uniqlo.com/tw/store/goods/403134,69
167,0,http://www.uniqlo.com/tw/store/goods/400623,25
168,0,http://www.uniqlo.com/tw/store/goods/400500,69
168,0,http://www.uniqlo.com/tw/store/goods/400662,68
168,0,http://www.uniqlo.com/tw/store/goods/400339,58
168,1,http://www.uniqlo.com/tw/store/goods/401165,32
169,0,http://www.uniqlo.com/tw/store/goods/400504,69
