product_id,rgb hex,ryb hex,percentage of clothes,hue_level
1325,#222222,#222222,85.3,15
1326,#DF6E6F,#df6e6f,100.0,1
1327,#E0E3E0,#e0e3e3,76.7,13
1328,#1D1D1C,#1c1d1c,55.8,15
1329,#E6E6E6,#e6e6e6,100.0,13
1330,#2D2825,#2d2925,100.0,15
1331,#DE5125,#de5e25,100.0,2
1332,#2A387F,#2a367f,100.0,10
1333,#EEEEEA,#eaeeea,99.0,13
1334,#C8CCC7,#c7cccb,52.5,13
1335,#1E1E1E,#1e1e1e,100.0,15
1336,#E7CBB5,#e7dcb5,100.0,3
1337,#BD234B,#bd234b,100.0,1
1338,#615432,#436132,100.0,4
1339,#23284E,#23274e,100.0,10
1340,#EEEFEA,#eaefeb,98.3,13
