product_id,rgb hex,ryb hex,percentage of clothes,hue_level
428,#CBD8FB,#cbd5fb,100.0,10
429,#13131F,#13131f,100.0,13
430,#ACC2E9,#acbce9,50.0,9
431,#95A2CF,#959fcf,50.0,10
432,#8E8C98,#8e8c98,50.0,10
433,#D4DEF7,#d4dbf7,100.0,10
434,#BCD3F5,#bcccf5,100.0,9
435,#7C8CCE,#7c89ce,75.0,10
436,#6A655E,#666a5e,75.0,3
437,#B7C7E8,#b7c3e8,100.0,10
438,#000000,#000000,100.0,13
439,#702A44,#702a44,31.1,1
440,#3C547C,#3c4d7c,48.4,9
441,#797989,#797989,14.8,10
442,#CEBDB2,#cec4b2,13.7,2
443,#80101C,#80101c,32.6,1
444,#171E30,#171c30,17.5,13
445,#725E2E,#4a722e,36.3,4
446,#324834,#324648,32.6,7
447,#2D407A,#2d3c7a,39.6,10
448,#182236,#181f36,50.3,10
449,#264038,#263540,43.2,8
450,#1A2335,#1a2035,33.7,10
451,#1C273D,#1c243d,62.2,10
452,#545452,#525452,100.0,13
453,#28343C,#282f3c,67.1,9
454,#546055,#545f60,98.1,7
455,#A8B2A7,#a7b2b1,100.0,13
456,#000000,#000000,100.0,13
457,#3C4D79,#3c4979,100.0,10
458,#2E3740,#2e3440,100.0,9
459,#D6D6D4,#d4d6d4,100.0,13
460,#676769,#676769,100.0,13
461,#272727,#272727,100.0,13
462,#AC9768,#86ac68,100.0,4
463,#707F6A,#6a7f79,100.0,6
464,#323D5B,#323a5b,100.0,10
465,#41678B,#415a8b,100.0,9
466,#2E3440,#2e3240,100.0,10
467,#424443,#424344,100.0,13
468,#BAAB8E,#a4ba8e,100.0,3
469,#31363C,#31343c,100.0,9
470,#3C4238,#38423e,38.9,6
471,#35465A,#35405a,100.0,9
472,#545952,#525957,100.0,6
473,#FCFCFC,#fcfcfc,100.0,13
474,#000000,#000000,100.0,13
475,#E18876,#e18b76,100.0,2
476,#C5B79C,#b1c59c,100.0,3
477,#766551,#707651,100.0,3
478,#72805D,#5d806b,100.0,6
479,#415458,#414b58,100.0,9
480,#27343C,#272f3c,100.0,9
481,#657781,#656f81,100.0,9
482,#A28670,#a29770,100.0,3
483,#323440,#323340,100.0,10
484,#000000,#000000,100.0,13
485,#EC3740,#ec3740,100.0,1
486,#4FABF8,#4f8af8,100.0,9
487,#44BE8D,#4490be,100.0,8
488,#C19C72,#b7c172,100.0,3
489,#D8D8D8,#d8d8d8,100.0,13
490,#E65A5D,#e65a5d,100.0,1
491,#E1905B,#e1b25b,100.0,2
492,#D6C4B6,#d6ceb6,100.0,3
493,#4C4E4B,#4b4e4d,100.0,13
494,#5E7199,#5e6c99,100.0,10
495,#373F6D,#373d6d,100.0,10
496,#B2A197,#b2a697,100.0,2
497,#FAFAFA,#fafafa,100.0,13
498,#8CA8C0,#8c9ec0,100.0,9
499,#535746,#46574a,100.0,5
500,#D25A64,#d25a64,100.0,1
501,#394D88,#394888,100.0,10
502,#845D3E,#84753e,100.0,3
503,#C9C8C5,#c6c9c5,47.6,13
504,#4E4E4E,#4e4e4e,31.3,13
505,#242736,#242636,100.0,10
506,#000000,#000000,100.0,13
507,#979692,#939792,96.7,13
508,#242B35,#242835,100.0,9
509,#000000,#000000,100.0,13
510,#404946,#404549,100.0,8
511,#314E76,#314576,100.0,9
512,#282F37,#282c37,100.0,9
513,#000000,#000000,100.0,13
514,#A7B4BC,#a7afbc,65.1,9
515,#3B4245,#3b3f45,64.8,9
516,-1
517,#BFAD99,#bbbf99,100.0,3
518,#686765,#666865,100.0,13
519,#465665,#465065,74.7,9
520,#E4CAB9,#e4d5b9,100.0,2
521,#AA8E67,#97aa67,100.0,3
522,#59697D,#59647d,67.5,9
523,#3F1F24,#3f1f24,100.0,1
524,#576E7E,#57657e,88.2,9
525,#6F87A3,#6f7fa3,37.9,9
526,#30364F,#30354f,51.0,10
527,#A99A79,#8ea979,100.0,4
528,#707054,#547054,100.0,5
529,#22262F,#22252f,100.0,13
530,#CEC2A8,#b9cea8,100.0,4
531,#404735,#35473c,100.0,6
532,#21242B,#21232b,100.0,13
533,#D3D4CE,#ced4cf,100.0,13
534,#4B5151,#4b4e51,19.0,8
535,#3E4454,#3e4254,100.0,10
536,#000000,#000000,100.0,13
537,#434D34,#344d3e,100.0,6
538,#14171E,#14161e,100.0,13
539,-1
540,#AC9D80,#96ac80,100.0,3
541,#616A55,#556a5e,100.0,6
542,#000000,#000000,100.0,13
543,-1
544,#BE9C80,#beb380,100.0,3
545,#000000,#000000,100.0,13
546,#B0B2B0,#b0b2b2,49.6,13
547,#595957,#575957,13.5,13
548,#323641,#323541,100.0,10
549,#17181A,#17171a,100.0,13
550,#333953,#333853,100.0,10
551,#E9D05A,#78e95a,100.0,4
552,#FCFCFC,#fcfcfc,100.0,13
553,#222222,#222222,100.0,13
554,#BEBEB9,#b9beb9,45.4,13
555,#565553,#545653,100.0,13
556,#202020,#202020,100.0,13
557,#FCFCFC,#fcfcfc,100.0,13
558,#F7E0D0,#f7ebd0,100.0,2
559,#FCFCFC,#fcfcfc,100.0,13
560,#FCFCFC,#fcfcfc,100.0,13
561,#FCFCFC,#fcfcfc,100.0,13
562,#202020,#202020,100.0,13
